base_score,,,[481.94380014],
RevolvingUtilizationOfUnsecuredLines,Score,,NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 0.0991]",48.05348668,,"(-inf, 1.0]",-13.21494743
"(0.0991, 0.298]",14.59787756,,"(1.0, 3.0]",-5.308200853
"(0.298, 0.465]",-2.743470154,,"(3.0, 5.0]",-0.814461429
"(0.465, 0.983]",-23.44399694,,"(5.0, 17.0]",1.942689809
"(0.983, 1.0]",-10.45329111,,"(17.0, inf]",7.36221216
"(1.0, inf]",-44.39028056,,NumberOfTimes90DaysLate,Score
age,Score,,"(-inf, 0.0]",3.891191119
"(-inf, 36.0]",-4.390866932,,"(0.0, 1.0]",-28.94458677
"(36.0, 54.0]",-2.347737938,,"(1.0, 2.0]",-37.22455044
"(54.0, 61.0]",2.064923041,,"(2.0, inf]",-39.59109067
"(61.0, 64.0]",6.497251785,,NumberRealEstateLoansOrLines,Score
"(64.0, 74.0]",9.724825722,,"(-inf, 0.0]",-9.984194527
"(74.0, inf]",14.59644492,,"(0.0, 1.0]",4.997773612
NumberOfTime30-59DaysPastDueNotWorse,Score,,"(1.0, 2.0]",15.55993259
"(-inf, 0.0]",7.198624683,,"(2.0, 4.0]",9.651750425
"(0.0, 1.0]",-17.79234558,,"(4.0, inf]",-7.361546875
"(1.0, 2.0]",-28.08110081,,NumberOfTime60-89DaysPastDueNotWorse,Score
"(2.0, inf]",-31.53149945,,"(-inf, 0.0]",0.991626713
DebtRatio,Score,,"(0.0, 1.0]",-11.05162419
"(-inf, 0.0175]",23.75490051,,"(1.0, 2.0]",-14.06453689
"(0.0175, 0.503]",-0.180562005,,"(2.0, inf]",-14.3584134
"(0.503, 1.467]",-7.372258856,,NumberOfDependents,Score
"(1.467, inf]",2.74638772,,"(-inf, 0.0]",15.76124431
MonthlyIncome,Score,,"(0.0, 1.0]",-12.24999838
"(-inf, 0.11]",8.389433846,,"(1.0, 2.0]",-12.82114305
"(0.11, 5590.0]",-1.381689179,,"(2.0, inf]",-11.45981625
"(5590.0, inf]",1.310777761,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,